frame,time_s,x_px,y_px,path_mm,velocity_mm_s,accel_mm_s2
0,0.0000,1290,1416,0.000,0.000,0.000
1,0.0333,1326,1418,36.056,1081.883,32463.020
2,0.0667,1362,1392,80.463,1332.484,7519.549
3,0.1000,1368,1379,94.781,429.621,-27091.345
4,0.1333,1357,1370,108.993,426.466,-94.674
5,0.1666,1317,1356,151.372,908.417,5451.601
6,0.2000,1325,1349,162.003,755.835,-1956.684
7,0.2333,1327,1333,178.127,586.104,-4479.181
8,0.2666,1222,1353,285.015,1141.636,4272.948
9,0.2999,1188,1322,331.026,1332.463,5437.079
10,0.3333,1112,1312,407.681,1538.160,3779.214
11,0.3666,1053,1300,467.889,1835.687,6480.416
12,0.3999,1031,1265,509.229,1987.010,8407.127
13,0.4332,1007,1261,533.560,1491.570,2100.028
14,0.4666,977,1252,564.881,1403.413,425.781
15,0.4999,959,1236,588.964,1087.918,-2701.994
16,0.5332,948,1228,602.565,808.223,-6166.024
17,0.5666,936,1222,615.982,640.647,-8079.804
18,0.5999,925,1210,632.261,592.324,-5396.562
19,0.6332,915,1206,643.031,468.996,-5607.630
20,0.6665,909,1198,653.031,384.480,-4221.480
21,0.6999,903,1188,664.693,372.840,-2612.823
22,0.7332,901,1188,666.693,304.328,-2018.323
23,0.7665,900,1180,674.755,255.018,-2024.242
24,0.7998,899,1170,684.805,250.695,-1310.069
25,0.8332,901,1155,699.938,281.497,-618.017
26,0.8665,898,1148,707.554,257.216,-693.884
27,0.8998,907,1140,719.595,317.477,78.915
28,0.9331,921,1132,735.720,365.861,665.188
29,0.9665,930,1124,747.761,377.813,762.866
30,0.9998,947,1121,765.024,390.595,654.721
31,1.0331,959,1118,777.393,419.122,971.636
32,1.0665,982,1128,802.473,497.368,1079.561
33,1.0998,993,1135,815.512,478.848,678.058
34,1.1331,1005,1140,828.512,484.599,640.843
35,1.1664,1006,1144,832.635,405.746,90.920
36,1.1998,1007,1153,841.690,385.858,-199.626
37,1.2331,1006,1157,845.813,260.092,-1423.940
38,1.2664,1013,1161,853.875,230.229,-1492.009
39,1.2997,1015,1173,866.041,225.222,-1556.578
40,1.3331,1017,1177,870.513,227.316,-1070.793
41,1.3664,1018,1182,875.612,203.573,-1093.930
42,1.3997,1032,1164,898.416,315.678,333.582
43,1.4330,1057,1161,923.595,418.401,1129.259
44,1.4664,1085,1160,951.613,513.535,1730.226
45,1.4997,1112,1154,979.271,652.682,2552.705
46,1.5330,1109,1160,985.980,662.339,2753.146
47,1.5664,1123,1151,1002.623,625.370,1858.525
48,1.5997,1130,1150,1009.694,516.698,589.900
49,1.6330,1124,1147,1016.402,388.815,-748.469
50,1.6663,1114,1137,1030.544,307.699,-2070.309
51,1.6997,1097,1121,1053.890,407.542,-1529.088
52,1.7330,1091,1100,1075.730,438.730,-1120.065
53,1.7663,1083,1089,1089.331,477.920,-232.715
54,1.7996,1082,1075,1103.367,521.894,798.636
55,1.8330,1085,1057,1121.615,546.536,1433.307
56,1.8663,1090,1041,1138.378,507.035,597.079
57,1.8996,1097,1021,1159.568,503.130,386.476
58,1.9329,1084,1012,1175.379,516.392,230.876
59,1.9663,1074,1006,1187.041,502.147,-118.509
60,1.9996,1062,1001,1200.041,470.650,-455.404
61,2.0329,1052,993,1212.848,446.905,-360.853
62,2.0663,1053,996,1216.010,338.719,-986.663
63,2.0996,1046,1010,1231.662,337.765,-1071.975
64,2.1329,1046,1023,1244.662,345.796,-938.295
65,2.1662,1043,1024,1247.825,286.757,-1103.581
66,2.1996,1026,1025,1264.854,312.101,-808.984
67,2.2329,1007,1028,1284.089,408.559,419.126
68,2.2662,996,1020,1297.691,396.251,350.983
69,2.2995,966,1007,1330.386,514.448,1012.118
70,2.3329,966,1003,1334.386,519.475,1396.589
71,2.3662,946,990,1358.240,560.430,1490.270
72,2.3995,916,986,1388.506,626.624,1308.649
73,2.4328,896,988,1408.605,665.621,1616.547
74,2.4662,866,993,1439.019,651.928,825.045
75,2.4995,844,1007,1465.096,784.415,1589.960
76,2.5328,830,1021,1484.895,760.082,1198.156
77,2.5662,810,1043,1514.627,756.881,781.704
78,2.5995,784,1063,1547.430,833.113,1005.152
79,2.6328,765,1076,1570.451,788.751,821.106
80,2.6661,752,1101,1598.629,801.361,101.695
81,2.6995,738,1116,1619.148,805.678,273.629
82,2.7328,730,1137,1641.620,762.109,31.374
83,2.7661,717,1153,1662.235,688.973,-865.012
84,2.7994,708,1162,1674.963,627.198,-969.516
85,2.8328,703,1155,1683.566,509.720,-1750.197
86,2.8661,712,1173,1703.690,507.358,-1790.280
87,2.8994,719,1187,1719.343,466.431,-1774.427
88,2.9327,711,1191,1728.287,396.389,-1755.856
89,2.9661,714,1200,1737.774,376.939,-1501.856
90,2.9994,713,1202,1740.010,338.734,-1026.125
91,3.0327,716,1210,1748.554,269.236,-1429.017
92,3.0660,728,1209,1760.595,247.566,-1313.452
93,3.0994,745,1206,1777.858,297.487,-593.534
94,3.1327,764,1202,1797.275,357.077,-119.197
95,3.1660,795,1197,1828.675,532.099,1160.428
96,3.1994,830,1193,1863.903,692.235,2538.502
97,3.2327,861,1187,1895.478,809.460,3372.042
98,3.2660,889,1170,1928.235,902.443,3630.468
99,3.2993,909,1160,1950.596,920.112,3378.890
100,3.3327,919,1149,1965.462,820.885,1733.059
101,3.3660,912,1132,1983.847,719.806,165.461
102,3.3993,898,1112,2008.260,676.824,-795.979
103,3.4326,878,1103,2030.191,611.861,-1743.843
104,3.4660,888,1098,2041.372,544.766,-2252.531
105,3.4993,885,1093,2047.203,490.544,-1982.442
106,3.5326,903,1083,2067.794,503.786,-1296.382
107,3.5659,937,1073,2103.234,569.961,-641.309
108,3.5993,970,1057,2139.908,658.434,279.492
109,3.6326,1015,1043,2187.036,874.160,1976.764
110,3.6659,1076,1015,2254.155,1241.964,4509.427
111,3.6993,1152,1005,2330.810,1578.415,6449.071
112,3.7326,1182,1015,2362.433,1555.506,5914.462
113,3.7659,1206,1031,2391.277,1508.518,5101.530
114,3.7992,1245,1036,2430.597,1461.659,3525.701
115,3.8326,1313,992,2511.590,1544.923,1818.116
116,3.8659,1322,1003,2525.803,1170.193,-2449.824
117,3.8992,1357,1001,2560.860,1190.803,-2188.660
118,3.9325,1388,998,2592.005,1204.608,-1823.825
119,3.9659,1380,1011,2607.269,1060.250,-2408.937
120,3.9992,1368,1029,2628.903,704.015,-5046.460
121,4.0325,1396,1001,2668.501,856.358,-1883.390
122,4.0658,1372,1017,2697.345,819.074,-2230.822
123,4.0992,1294,1035,2777.395,1112.564,-552.376
124,4.1325,1206,1078,2875.339,1608.741,3291.608
125,4.1658,1161,1091,2922.179,1760.012,6337.259
126,4.1992,1125,1082,2959.287,1745.069,5333.343
127,4.2325,1108,1084,2976.404,1674.692,5134.742
128,4.2658,1083,1073,3003.717,1358.206,1474.152
129,4.2991,1060,1050,3036.244,965.626,-3859.467
130,4.3325,1038,1044,3059.048,821.377,-5632.946
131,4.3658,1030,1051,3069.678,662.478,-6496.853
132,4.3991,1034,1042,3079.527,618.859,-6336.272
133,4.4324,1046,1028,3097.966,565.605,-4756.566
134,4.4658,1044,1010,3116.076,479.091,-2919.798
135,4.4991,1037,996,3131.729,436.176,-2311.672
136,4.5324,1035,993,3135.335,394.020,-1611.074
137,4.5657,1028,985,3145.965,398.708,-1321.170
138,4.5991,1023,987,3151.350,320.369,-1471.711
139,4.6324,1028,981,3159.160,258.554,-1323.489
140,4.6657,1031,982,3162.322,183.597,-1515.776
141,4.6991,1009,995,3187.876,315.314,-472.331
142,4.7324,1005,1003,3196.820,305.196,-561.185
143,4.7657,992,1008,3210.749,356.466,216.625
144,4.7990,976,1013,3227.512,410.194,910.024
145,4.8324,958,1001,3249.145,521.042,2025.077
