frame,time_s,x_px,y_px,path_mm,velocity_mm_s,accel_mm_s2
0,0.0000,477,267,0.000,0.000,0.000
1,0.0400,479,270,3.606,90.139,2253.470
2,0.0800,484,273,9.437,145.774,1390.875
3,0.1200,484,274,10.437,25.000,-3019.345
4,0.1600,484,276,12.437,50.000,625.000
5,0.2000,482,278,15.265,76.325,381.623
6,0.2400,482,281,18.265,73.297,-84.209
7,0.2800,481,283,20.501,55.322,-452.257
8,0.3200,481,284,21.501,55.322,151.612
9,0.3600,481,283,22.501,50.322,1.612
10,0.4000,480,280,25.663,51.992,-121.665
11,0.4400,480,275,30.663,61.992,-56.526
12,0.4800,480,272,33.663,65.811,52.445
13,0.5200,480,272,33.663,60.811,27.445
14,0.5600,483,273,36.826,71.623,106.502
15,0.6000,483,273,36.826,55.811,19.098
16,0.6400,483,275,38.826,40.811,-105.902
17,0.6800,484,276,40.240,32.882,-164.645
18,0.7200,483,276,41.240,37.882,-114.645
19,0.7600,482,277,42.654,29.142,-212.403
20,0.8000,481,277,43.654,34.142,-108.346
21,0.8400,482,277,44.654,29.142,-58.346
22,0.8800,481,278,46.068,29.142,-18.702
23,0.9200,482,279,47.482,31.213,-33.346
24,0.9600,481,279,48.482,29.142,0.000
25,1.0000,482,279,49.482,29.142,-25.000
26,1.0400,483,278,50.897,31.213,10.355
27,1.0800,484,278,51.897,29.142,0.000
28,1.1200,486,278,53.897,32.071,4.289
29,1.1600,487,277,55.311,34.142,25.000
30,1.2000,489,277,57.311,39.142,50.000
31,1.2400,489,277,57.311,32.071,4.289
32,1.2800,488,277,58.311,32.071,14.645
33,1.3200,488,276,59.311,27.071,-25.000
34,1.3600,488,275,60.311,25.000,-45.711
35,1.4000,488,274,61.311,20.000,-95.711
36,1.4400,487,273,62.725,27.071,-25.000
37,1.4800,487,272,63.725,27.071,-25.000
38,1.5200,488,270,65.961,33.251,30.902
39,1.5600,488,269,66.961,33.251,41.257
40,1.6000,489,269,67.961,33.251,66.257
